Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1900,0.145957,0.038140,0.019577,0.013529,0.010797,0.007940,0.005699,0.004073,0.003047,0.002555,0.002483,0.002670,0.002935,0.003153,0.003355,0.003673,0.004149,0.004676,0.005233,0.005797,0.006421,0.007024,0.007445,0.007616,0.007606,0.007526,0.007496,0.007554,0.007754,0.008057,0.008382,0.008670,0.008939,0.009172,0.009380,0.009603,0.009845,0.010077,0.010294,0.010510,0.010743,0.011015,0.011337,0.011722,0.012169,0.012677,0.013235,0.013832,0.014463,0.015146,0.015890,0.016732,0.017708,0.018841,0.020114,0.021543,0.023065,0.024593,0.026088,0.027618,0.029303,0.031228,0.033395,0.035841,0.038578,0.041585,0.044879,0.048518,0.052527,0.056907,0.061824,0.067135,0.072536,0.077928,0.083538,0.089449,0.096175,0.104262,0.113999,0.125035,0.136917,0.149054,0.161175,0.173025,0.184855,0.197067,0.209980,0.223760,0.238407,0.253781,0.269703,0.285976,0.302410,0.318835,0.335097,0.352121,0.369939,0.388584,0.408092,0.428496,0.449921,0.472417,0.496038,0.520840,0.546882,0.574226,0.602937,0.633084,0.664738,0.697975,0.732874,0.769518,0.807994,0.848393,0.890813,0.935354,0.982121,1.000000,1.000000,1.000000
1901,0.128020,0.032822,0.016880,0.011680,0.009325,0.007020,0.005207,0.003885,0.003040,0.002622,0.002542,0.002676,0.002885,0.003072,0.003260,0.003546,0.003966,0.004446,0.004971,0.005518,0.006121,0.006707,0.007144,0.007374,0.007452,0.007474,0.007536,0.007660,0.007889,0.008193,0.008518,0.008814,0.009073,0.009275,0.009443,0.009607,0.009805,0.010054,0.010372,0.010747,0.011162,0.011588,0.012007,0.012408,0.012809,0.013258,0.013770,0.014315,0.014893,0.015525,0.016217,0.017012,0.017968,0.019118,0.020437,0.021904,0.023465,0.025083,0.026734,0.028455,0.030355,0.032451,0.034672,0.037015,0.039532,0.042277,0.045330,0.048747,0.052576,0.056810,0.061702,0.067003,0.072215,0.077171,0.082246,0.087331,0.093470,0.102007,0.113557,0.127222,0.142168,0.156731,0.169728,0.180383,0.189615,0.198850,0.209257,0.221489,0.235646,0.251340,0.268044,0.285179,0.302180,0.318564,0.333891,0.350082,0.367189,0.385272,0.404390,0.424609,0.445840,0.468132,0.491538,0.516115,0.541921,0.569017,0.597468,0.627341,0.658708,0.691644,0.726226,0.762537,0.800664,0.840697,0.882732,0.926869,0.973212,1.000000,1.000000,1.000000
1902,0.125569,0.031764,0.016343,0.011312,0.009032,0.006787,0.005016,0.003713,0.002865,0.002423,0.002306,0.002399,0.002578,0.002752,0.002940,0.003226,0.003637,0.004095,0.004581,0.005078,0.005631,0.006171,0.006558,0.006730,0.006751,0.006709,0.006717,0.006827,0.007094,0.007473,0.007889,0.008263,0.008572,0.008782,0.008927,0.009057,0.009228,0.009452,0.009752,0.010113,0.010517,0.010924,0.011306,0.011642,0.011962,0.012317,0.012745,0.013247,0.013840,0.014526,0.015284,0.016126,0.017090,0.018192,0.019422,0.020783,0.022241,0.023763,0.025330,0.026975,0.028810,0.030828,0.032924,0.035082,0.037378,0.039839,0.042632,0.045940,0.049868,0.054324,0.059385,0.064717,0.069874,0.074660,0.079414,0.084272,0.090014,0.097438,0.106975,0.118079,0.130142,0.142182,0.153614,0.163996,0.173820,0.183863,0.194755,0.206847,0.220183,0.234540,0.249621,0.265093,0.280633,0.295957,0.310805,0.326387,0.342739,0.359899,0.377906,0.396802,0.416642,0.437474,0.459348,0.482315,0.506431,0.531752,0.558340,0.586257,0.615570,0.646348,0.678666,0.712599,0.748229,0.785640,0.824922,0.866168,0.909477,0.954951,1.000000,1.000000
1903,0.120313,0.029479,0.015185,0.010518,0.008399,0.006448,0.004909,0.003777,0.003040,0.002655,0.002553,0.002638,0.002803,0.002971,0.003157,0.003429,0.003812,0.004242,0.004704,0.005180,0.005707,0.006221,0.006597,0.006780,0.006825,0.006818,0.006853,0.006967,0.007202,0.007525,0.007877,0.008198,0.008483,0.008708,0.008895,0.009083,0.009305,0.009563,0.009870,0.010221,0.010597,0.010990,0.011410,0.011856,0.012330,0.012877,0.013464,0.014016,0.014506,0.014988,0.015498,0.016145,0.017030,0.018218,0.019656,0.021261,0.022933,0.024635,0.026323,0.028045,0.029952,0.032061,0.034248,0.036501,0.038893,0.041491,0.044426,0.047803,0.051702,0.056084,0.061018,0.066313,0.071707,0.077093,0.082694,0.088550,0.095197,0.103239,0.112981,0.124021,0.135942,0.148006,0.159731,0.170775,0.181525,0.192589,0.204457,0.217399,0.231444,0.246415,0.262076,0.278166,0.294429,0.310641,0.326596,0.343282,0.360726,0.378959,0.398010,0.417911,0.438806,0.460747,0.483784,0.507973,0.533372,0.560041,0.588043,0.617445,0.648317,0.680733,0.714769,0.750508,0.788033,0.827435,0.868807,0.912247,0.957859,1.000000,1.000000,1.000000
1904,0.125990,0.030739,0.015823,0.010956,0.008748,0.006629,0.004975,0.003787,0.003054,0.002725,0.002711,0.002889,0.003119,0.003304,0.003470,0.003723,0.004097,0.004505,0.004929,0.005356,0.005834,0.006304,0.006645,0.006804,0.006838,0.006816,0.006848,0.006998,0.007323,0.007773,0.008266,0.008716,0.009099,0.009378,0.009584,0.009785,0.010022,0.010281,0.010573,0.010897,0.011239,0.011601,0.012005,0.012458,0.012957,0.013532,0.014148,0.014735,0.015270,0.015803,0.016392,0.017125,0.018052,0.019220,0.020608,0.022107,0.023722,0.025565,0.027665,0.029970,0.032594,0.035316,0.037773,0.039816,0.041678,0.043570,0.045964,0.049235,0.053642,0.058945,0.065031,0.071286,0.077130,0.082245,0.087106,0.092092,0.098178,0.106174,0.116580,0.128805,0.142078,0.155418,0.168392,0.180592,0.192445,0.204628,0.217681,0.231891,0.247268,0.263594,0.280581,0.297922,0.315316,0.332504,0.349250,0.366814,0.385235,0.404553,0.424810,0.446051,0.468353,0.491771,0.516360,0.542178,0.569286,0.597751,0.627638,0.659020,0.691971,0.726570,0.762898,0.801043,0.841095,0.883150,0.927308,0.973673,1.000000,1.000000,1.000000,1.000000
1905,0.127918,0.029149,0.015017,0.010403,0.008308,0.006284,0.004701,0.003559,0.002845,0.002514,0.002483,0.002637,0.002849,0.003029,0.003199,0.003451,0.003818,0.004233,0.004682,0.005144,0.005663,0.006166,0.006513,0.006646,0.006628,0.006547,0.006527,0.006631,0.006921,0.007344,0.007808,0.008230,0.008602,0.008894,0.009129,0.009379,0.009659,0.009920,0.010157,0.010392,0.010607,0.010868,0.011275,0.011875,0.012613,0.013479,0.014323,0.014981,0.015363,0.015584,0.015799,0.016212,0.016921,0.018029,0.019469,0.021051,0.022710,0.024552,0.026578,0.028760,0.031210,0.033778,0.036175,0.038290,0.040295,0.042443,0.045010,0.048106,0.051868,0.056233,0.061127,0.066383,0.071905,0.077630,0.083700,0.090213,0.097454,0.105677,0.115033,0.125359,0.136460,0.148032,0.159897,0.171917,0.184247,0.197127,0.210749,0.225208,0.240503,0.256549,0.273233,0.290434,0.308028,0.325905,0.343959,0.362642,0.381949,0.401871,0.422399,0.443519,0.465695,0.488979,0.513428,0.539100,0.566055,0.594358,0.624075,0.655279,0.688043,0.722445,0.758568,0.796496,0.836321,0.878137,0.922044,0.968146,1.000000,1.000000,1.000000,1.000000
1906,0.130912,0.030382,0.015643,0.010832,0.008649,0.006381,0.004621,0.003371,0.002615,0.002299,0.002326,0.002562,0.002857,0.003105,0.003333,0.003653,0.004099,0.004574,0.005058,0.005535,0.006061,0.006570,0.006926,0.007071,0.007067,0.007004,0.006992,0.007077,0.007308,0.007650,0.008016,0.008355,0.008689,0.009005,0.009309,0.009640,0.009986,0.010293,0.010543,0.010766,0.010967,0.011218,0.011594,0.012141,0.012810,0.013600,0.014376,0.014983,0.015342,0.015561,0.015763,0.016159,0.016888,0.018063,0.019595,0.021309,0.023065,0.024868,0.026668,0.028503,0.030537,0.032754,0.034977,0.037168,0.039424,0.041893,0.044711,0.047923,0.051599,0.055738,0.060314,0.065301,0.070717,0.076569,0.082901,0.089745,0.097172,0.105248,0.114015,0.123446,0.133580,0.144300,0.155449,0.166959,0.178949,0.191590,0.205017,0.219306,0.234465,0.250443,0.267174,0.284576,0.302566,0.321067,0.339998,0.359436,0.379341,0.399668,0.420368,0.441387,0.463456,0.486629,0.510960,0.536508,0.563334,0.591500,0.621076,0.652129,0.684736,0.718973,0.754921,0.792667,0.832301,0.873916,0.917611,0.963492,1.000000,1.000000,1.000000,1.000000
1907,0.124972,0.028210,0.014541,0.010076,0.008048,0.005991,0.004395,0.003262,0.002580,0.002301,0.002337,0.002564,0.002847,0.003088,0.003315,0.003619,0.004044,0.004529,0.005066,0.005625,0.006248,0.006840,0.007236,0.007362,0.007297,0.007156,0.007084,0.007151,0.007427,0.007857,0.008328,0.008753,0.009143,0.009468,0.009746,0.010044,0.010370,0.010673,0.010946,0.011211,0.011456,0.011746,0.012169,0.012767,0.013491,0.014343,0.015177,0.015823,0.016190,0.016399,0.016592,0.016991,0.017733,0.018934,0.020506,0.022269,0.024090,0.025996,0.027947,0.029970,0.032222,0.034666,0.037115,0.039519,0.041988,0.044634,0.047652,0.051182,0.055334,0.060038,0.065326,0.070949,0.076604,0.082156,0.087861,0.093831,0.100642,0.108875,0.118844,0.130156,0.142476,0.155010,0.167145,0.178508,0.189587,0.201132,0.213750,0.227776,0.243262,0.260006,0.277735,0.296146,0.314939,0.333857,0.352662,0.372081,0.392098,0.412695,0.433852,0.455544,0.478322,0.502238,0.527350,0.553717,0.581403,0.610473,0.640997,0.673047,0.706699,0.742034,0.779136,0.818092,0.858997,0.901947,0.947044,0.994396,1.000000,1.000000,1.000000,1.000000
1908,0.120211,0.026876,0.013864,0.009613,0.007678,0.005787,0.004307,0.003236,0.002562,0.002241,0.002201,0.002339,0.002542,0.002731,0.002922,0.003191,0.003565,0.003985,0.004436,0.004898,0.005413,0.005906,0.006241,0.006354,0.006313,0.006208,0.006159,0.006216,0.006438,0.006779,0.007158,0.007502,0.007807,0.008046,0.008242,0.008450,0.008696,0.008960,0.009247,0.009563,0.009878,0.010226,0.010682,0.011275,0.011965,0.012775,0.013577,0.014195,0.014544,0.014741,0.014900,0.015255,0.015983,0.017215,0.018835,0.020656,0.022483,0.024276,0.025956,0.027589,0.029410,0.031435,0.033468,0.035477,0.037571,0.039871,0.042550,0.045726,0.049499,0.053833,0.058619,0.063800,0.069433,0.075517,0.082075,0.089058,0.096555,0.104716,0.113600,0.123103,0.133370,0.144021,0.154489,0.164547,0.174577,0.185148,0.196727,0.209588,0.223800,0.239248,0.255760,0.273135,0.291172,0.309688,0.328514,0.347776,0.367416,0.387373,0.407577,0.427956,0.449354,0.471822,0.495413,0.520183,0.546193,0.573502,0.602177,0.632286,0.663901,0.697096,0.731950,0.768548,0.806975,0.847324,0.889690,0.934175,0.980883,1.000000,1.000000,1.000000
1909,0.114568,0.025922,0.013381,0.009281,0.007414,0.005493,0.004000,0.002937,0.002296,0.002030,0.002054,0.002246,0.002472,0.002640,0.002776,0.002986,0.003309,0.003667,0.004049,0.004440,0.004873,0.005294,0.005605,0.005761,0.005808,0.005815,0.005860,0.005969,0.006176,0.006457,0.006762,0.007050,0.007326,0.007575,0.007810,0.008059,0.008336,0.008635,0.008959,0.009311,0.009671,0.010058,0.010512,0.011050,0.011650,0.012343,0.013043,0.013623,0.014025,0.014334,0.014642,0.015111,0.015857,0.016969,0.018379,0.019968,0.021616,0.023299,0.024969,0.026677,0.028558,0.030649,0.032869,0.035219,0.037745,0.040531,0.043615,0.046984,0.050658,0.054677,0.059067,0.063886,0.069196,0.075039,0.081411,0.088268,0.095612,0.103499,0.111944,0.120935,0.130626,0.140854,0.151295,0.161839,0.172706,0.184213,0.196619,0.210076,0.224622,0.240193,0.256692,0.274004,0.292010,0.310599,0.329664,0.349149,0.368990,0.389120,0.409461,0.429934,0.451431,0.474003,0.497703,0.522588,0.548717,0.576153,0.604961,0.635209,0.666969,0.700318,0.735334,0.772100,0.810705,0.851241,0.893803,0.938493,0.985417,1.000000,1.000000,1.000000
