year,age,survivors,number
1900,0,100000,2838981
1900,1,88031,2738981
1900,2,85336,2652930
1900,3,84066,2571388
1900,4,83216,2492865
1900,5,82532,2416884
1900,6,82049,2343221
1900,7,81698,2271637
1900,8,81447,2201961
1900,9,81259,2134061
1900,10,81108,2067841
1900,11,80943,2003230
1900,12,80783,1940200
1900,13,80626,1878708
1900,14,80443,1818716
1900,15,80255,1760207
1900,16,80050,1703146
1900,17,79807,1647510
1900,18,79516,1593291
1900,19,78892,1540483
1900,20,78484,1489268
1900,21,78064,1439464
1900,22,77707,1391040
1900,23,77344,1343921
1900,24,76973,1298076
1900,25,76611,1253477
1900,26,76246,1210086
1900,27,75875,1167873
1900,28,75527,1126810
1900,29,75171,1086853
1900,30,74814,1047979
1900,31,74481,1010160
1900,32,74148,973356
1900,33,73827,937540
1900,34,73513,902680
1900,35,73192,868750
1900,36,72857,835727
1900,37,72497,803594
1900,38,72148,772339
1900,39,71822,741933
1900,40,71500,712346
1900,41,71172,683553
1900,42,70838,655537
1900,43,70501,628279
1900,44,70146,601762
1900,45,69791,575970
1900,46,69425,550886
1900,47,69051,526495
1900,48,68653,502780
1900,49,68247,479732
1900,50,67819,457336
1900,51,67374,435581
1900,52,66884,414454
1900,53,66372,393952
1900,54,65838,374065
1900,55,65307,354781
1900,56,64760,336083
1900,57,64168,317958
1900,58,63533,300403
1900,59,62873,283412
1900,60,62177,266976
1900,61,61408,251087
1900,62,60590,235748
1900,63,59697,220953
1900,64,58738,206704
1900,65,57755,192999
1900,66,56719,179826
1900,67,55614,167180
1900,68,54457,155060
1900,69,53278,143459
1900,70,52055,132364
1900,71,50747,121767
1900,72,49358,111669
1900,73,47864,102068
1900,74,46318,92967
1900,75,44735,84358
1900,76,43112,76230
1900,77,41415,68573
1900,78,39668,61383
1900,79,37833,54651
1900,80,35958,48375
1900,81,33938,42544
1900,82,31898,37164
1900,83,29839,32222
1900,84,27664,27702
1900,85,25457,23606
1900,86,23194,19922
1900,87,20953,16640
1900,88,18724,13742
1900,89,16483,11211
1900,90,14392,9033
1900,91,12417,7174
1900,92,10572,5606
1900,93,8880,4301
1900,94,7244,3229
1900,95,5793,2375
1900,96,4518,1707
1900,97,3441,1198
1900,98,2546,819
1900,99,1836,544
1900,100,1273,351
1900,101,854,220
1900,102,560,134
1900,103,352,79
1900,104,214,45
1900,105,128,25
1900,106,73,13
1900,107,40,7
1900,108,21,3
1900,109,10,2
1900,110,5,1
1900,111,2,0
1900,112,1,0
1900,113,0,0
1900,114,0,0
1900,115,0,0
1900,116,0,0
1900,117,0,0
1900,118,0,0
1900,119,0,0
1901,0,100000,2899697
1901,1,89574,2799697
1901,2,86872,2712137
1901,3,85663,2629127
1901,4,84780,2549113
1901,5,84131,2471704
1901,6,83627,2396615
1901,7,83280,2323653
1901,8,83037,2252628
1901,9,82861,2183403
1901,10,82694,2115877
1901,11,82542,2050002
1901,12,82396,1985727
1901,13,82223,1923008
1901,14,82048,1861828
1901,15,81861,1802151
1901,16,81643,1743948
1901,17,81378,1687206
1901,18,80820,1631919
1901,19,80440,1578246
1901,20,80052,1526027
1901,21,79713,1475227
1901,22,79358,1425780
1901,23,78984,1377660
1901,24,78610,1330843
1901,25,78237,1285296
1901,26,77862,1240984
1901,27,77508,1197876
1901,28,77144,1155929
1901,29,76781,1115117
1901,30,76446,1075411
1901,31,76115,1036767
1901,32,75796,999155
1901,33,75486,962542
1901,34,75171,926900
1901,35,74847,892204
1901,36,74499,858435
1901,37,74156,825578
1901,38,73837,793607
1901,39,73520,762490
1901,40,73203,732203
1901,41,72884,702725
1901,42,72558,674035
1901,43,72215,646115
1901,44,71867,618952
1901,45,71514,592528
1901,46,71157,566825
1901,47,70779,541825
1901,48,70393,517517
1901,49,69979,493885
1901,50,69555,470920
1901,51,69095,448608
1901,52,68607,426941
1901,53,68092,405911
1901,54,67571,385509
1901,55,67045,365717
1901,56,66484,346521
1901,57,65876,327914
1901,58,65247,309892
1901,59,64582,292443
1901,60,63863,275560
1901,61,63099,259240
1901,62,62250,243478
1901,63,61321,228278
1901,64,60360,213642
1901,65,59360,199558
1901,66,58304,186019
1901,67,57192,173021
1901,68,56059,160556
1901,69,54891,148614
1901,70,53644,137183
1901,71,52315,126263
1901,72,50880,115853
1901,73,49394,105956
1901,74,47864,96564
1901,75,46290,87667
1901,76,44644,79257
1901,77,42941,71328
1901,78,41144,63873
1901,79,39300,56891
1901,80,37304,50371
1901,81,35277,44322
1901,82,33217,38730
1901,83,31028,33583
1901,84,28795,28883
1901,85,26483,24619
1901,86,24165,20786
1901,87,21836,17367
1901,88,19470,14348
1901,89,17233,11715
1901,90,15088,9438
1901,91,13048,7489
1901,92,11142,5841
1901,93,9267,4466
1901,94,7568,3348
1901,95,6034,2455
1901,96,4701,1759
1901,97,3563,1230
1901,98,2632,837
1901,99,1870,554
1901,100,1289,357
1901,101,870,224
1901,102,565,137
1901,103,356,81
1901,104,222,47
1901,105,131,26
1901,106,75,14
1901,107,41,7
1901,108,21,4
1901,109,11,2
1901,110,5,1
1901,111,2,0
1901,112,1,0
1901,113,0,0
1901,114,0,0
1901,115,0,0
1901,116,0,0
1901,117,0,0
1901,118,0,0
1901,119,0,0
1902,0,100000,2919493
1902,1,89738,2819493
1902,2,87208,2731773
1902,3,85971,2648442
1902,4,85146,2568140
1902,5,84448,2490398
1902,6,83970,2415025
1902,7,83639,2341765
1902,8,83411,2270433
1902,9,83221,2200895
1902,10,83066,2133076
1902,11,82929,2066905
1902,12,82769,2002328
1902,13,82607,1939326
1902,14,82437,1877860
1902,15,82243,1817900
1902,16,82007,1759426
1902,17,81515,1702431
1902,18,81171,1647051
1902,19,80819,1593145
1902,20,80506,1540679
1902,21,80173,1489591
1902,22,79813,1439858
1902,23,79441,1391463
1902,24,79066,1344375
1902,25,78692,1298564
1902,26,78339,1253994
1902,27,77974,1210621
1902,28,77611,1168422
1902,29,77278,1127363
1902,30,76955,1087400
1902,31,76642,1048498
1902,32,76338,1010625
1902,33,76031,973752
1902,34,75721,937851
1902,35,75391,902902
1902,36,75063,868886
1902,37,74757,835781
1902,38,74450,803551
1902,39,74148,772176
1902,40,73848,741630
1902,41,73540,711892
1902,42,73213,682943
1902,43,72878,654772
1902,44,72544,627360
1902,45,72208,600687
1902,46,71854,574734
1902,47,71491,549489
1902,48,71099,524937
1902,49,70700,501068
1902,50,70277,477866
1902,51,69825,455322
1902,52,69343,433427
1902,53,68844,412171
1902,54,68345,391543
1902,55,67821,371525
1902,56,67248,352107
1902,57,66655,333286
1902,58,66030,315051
1902,59,65365,297392
1902,60,64668,280304
1902,61,63885,263779
1902,62,63013,247821
1902,63,62096,232434
1902,64,61141,217613
1902,65,60145,203347
1902,66,59100,189629
1902,67,58022,176453
1902,68,56919,163808
1902,69,55746,151682
1902,70,54493,140073
1902,71,53139,128980
1902,72,51734,118406
1902,73,50281,108343
1902,74,48780,98783
1902,75,47207,89716
1902,76,45577,81139
1902,77,43850,73044
1902,78,42072,65432
1902,79,40138,58292
1902,80,38165,51633
1902,81,36143,45444
1902,82,33991,39715
1902,83,31782,34448
1902,84,29479,29634
1902,85,27142,25269
1902,86,24775,21341
1902,87,22349,17836
1902,88,20026,14745
1902,89,17767,12038
1902,90,15586,9690
1902,91,13514,7676
1902,92,11441,5970
1902,93,9526,4557
1902,94,7758,3408
1902,95,6180,2493
1902,96,4796,1780
1902,97,3628,1240
1902,98,2644,840
1902,99,1869,555
1902,100,1296,359
1902,101,868,225
1902,102,564,138
1902,103,364,82
1902,104,223,47
1902,105,133,27
1902,106,77,14
1902,107,42,7
1902,108,23,4
1902,109,12,2
1902,110,6,1
1902,111,3,0
1902,112,1,0
1902,113,0,0
1902,114,0,0
1902,115,0,0
1902,116,0,0
1902,117,0,0
1902,118,0,0
1902,119,0,0
1903,0,100000,2943693
1903,1,90196,2843693
1903,2,87603,2755525
1903,3,86445,2671817
1903,4,85558,2591072
1903,5,84908,2512952
1903,6,84452,2437170
1903,7,84136,2363489
1903,8,83891,2291734
1903,9,83715,2221796
1903,10,83574,2153575
1903,11,83422,2087000
1903,12,83269,2022039
1903,13,83114,1958656
1903,14,82937,1896813
1903,15,82726,1836489
1903,16,82290,1777672
1903,17,81984,1720479
1903,18,81668,1664781
1903,19,81378,1610545
1903,20,81068,1557716
1903,21,80728,1506272
1903,22,80370,1456195
1903,23,80000,1407461
1903,24,79628,1360042
1903,25,79275,1313905
1903,26,78909,1269005
1903,27,78545,1225317
1903,28,78214,1182808
1903,29,77898,1141431
1903,30,77591,1101147
1903,31,77290,1061923
1903,32,76988,1023731
1903,33,76687,986543
1903,34,76373,950333
1903,35,76059,915082
1903,36,75766,880766
1903,37,75471,847350
1903,38,75182,814813
1903,39,74899,783128
1903,40,74607,752273
1903,41,74296,722229
1903,42,73977,692983
1903,43,73658,664518
1903,44,73342,636812
1903,45,73010,609846
1903,46,72667,583605
1903,47,72299,558075
1903,48,71924,533244
1903,49,71534,509099
1903,50,71117,485623
1903,51,70671,462810
1903,52,70202,440649
1903,53,69729,419130
1903,54,69238,398237
1903,55,68696,377958
1903,56,68135,358289
1903,57,67545,339220
1903,58,66928,320741
1903,59,66289,302842
1903,60,65572,285513
1903,61,64766,268756
1903,62,63904,252578
1903,63,62997,236974
1903,64,62052,221937
1903,65,61069,207459
1903,66,60039,193530
1903,67,58991,180144
1903,68,57882,167288
1903,69,56696,154957
1903,70,55417,143150
1903,71,54089,131869
1903,72,52711,121106
1903,73,51281,110853
1903,74,49778,101102
1903,75,48218,91850
1903,76,46562,83090
1903,77,44850,74820
1903,78,42983,67034
1903,79,41070,59739
1903,80,39094,52926
1903,81,36987,46586
1903,82,34812,40723
1903,83,32534,35329
1903,84,30198,30401
1903,85,27820,25930
1903,86,25359,21904
1903,87,22975,18316
1903,88,20630,15138
1903,89,18335,12349
1903,90,16120,9926
1903,91,13871,7844
1903,92,11757,6092
1903,93,9765,4641
1903,94,7947,3463
1903,95,6310,2526
1903,96,4887,1798
1903,97,3652,1247
1903,98,2650,845
1903,99,1883,560
1903,100,1296,361
1903,101,868,228
1903,102,577,141
1903,103,366,84
1903,104,227,49
1903,105,137,27
1903,106,78,15
1903,107,45,8
1903,108,24,4
1903,109,12,2
1903,110,6,1
1903,111,3,0
1903,112,1,0
1903,113,0,0
1903,114,0,0
1903,115,0,0
1903,116,0,0
1903,117,0,0
1903,118,0,0
1903,119,0,0
1904,0,100000,2943347
1904,1,89728,2843347
1904,2,87328,2755637
1904,3,86093,2672191
1904,4,85273,2591775
1904,5,84659,2513916
1904,6,84223,2438356
1904,7,83889,2364874
1904,8,83668,2293330
1904,9,83507,2223579
1904,10,83352,2155527
1904,11,83204,2089128
1904,12,83062,2024338
1904,13,82904,1961112
1904,14,82714,1899424
1904,15,82327,1839263
1904,16,82060,1780729
1904,17,81781,1723697
1904,18,81519,1668137
1904,19,81233,1613999
1904,20,80917,1561264
1904,21,80586,1509916
1904,22,80232,1459927
1904,23,79871,1411277
1904,24,79523,1363934
1904,25,79158,1317858
1904,26,78798,1273025
1904,27,78471,1229398
1904,28,78162,1186930
1904,29,77863,1145580
1904,30,77567,1105314
1904,31,77270,1066103
1904,32,76976,1027920
1904,33,76676,990738
1904,34,76377,954534
1904,35,76100,919281
1904,36,75820,884946
1904,37,75545,851506
1904,38,75279,818937
1904,39,75003,787212
1904,40,74710,756314
1904,41,74410,726229
1904,42,74109,696938
1904,43,73812,668422
1904,44,73503,640659
1904,45,73182,613633
1904,46,72842,587330
1904,47,72492,561738
1904,48,72135,536842
1904,49,71754,512625
1904,50,71347,489078
1904,51,70918,466190
1904,52,70478,443952
1904,53,70022,422349
1904,54,69513,401368
1904,55,68984,381007
1904,56,68433,361257
1904,57,67858,342104
1904,58,67273,323539
1904,59,66621,305548
1904,60,65888,288132
1904,61,65100,271295
1904,62,64255,255033
1904,63,63371,239343
1904,64,62450,224218
1904,65,61468,209646
1904,66,60476,195627
1904,67,59431,182144
1904,68,58317,169192
1904,69,57117,156768
1904,70,55874,144874
1904,71,54582,133500
1904,72,53237,122638
1904,73,51816,112283
1904,74,50337,102430
1904,75,48765,93074
1904,76,47138,84214
1904,77,45358,75842
1904,78,43528,67968
1904,79,41625,60581
1904,80,39594,53675
1904,81,37479,47255
1904,82,35261,41314
1904,83,32969,35850
1904,84,30625,30856
1904,85,28180,26322
1904,86,25782,22243
1904,87,23402,18596
1904,88,21046,15359
1904,89,18740,12514
1904,90,16367,10037
1904,91,14101,7923
1904,92,11924,6143
1904,93,9897,4671
1904,94,8034,3477
1904,95,6367,2529
1904,96,4879,1795
1904,97,3632,1245
