year,age,survivors,number
1900,0,100000,2652566
1900,1,85404,2552566
1900,2,82601,2469082
1900,3,81251,2390153
1900,4,80397,2314260
1900,5,79693,2240854
1900,6,79192,2169725
1900,7,78827,2100633
1900,8,78569,2033406
1900,9,78368,1967905
1900,10,78209,1904040
1900,11,78044,1841739
1900,12,77875,1780966
1900,13,77711,1721688
1900,14,77525,1663866
1900,15,77328,1607478
1900,16,77122,1552499
1900,17,76875,1498898
1900,18,76584,1446671
1900,19,75885,1395811
1900,20,75482,1346548
1900,21,75099,1298648
1900,22,74771,1252063
1900,23,74435,1206725
1900,24,74084,1162604
1900,25,73746,1119680
1900,26,73405,1077911
1900,27,73063,1037271
1900,28,72729,997729
1900,29,72370,959253
1900,30,72006,921827
1900,31,71652,885428
1900,32,71296,850021
1900,33,70960,815582
1900,34,70615,782077
1900,35,70247,749484
1900,36,69858,717790
1900,37,69436,686979
1900,38,69019,657044
1900,39,68635,627957
1900,40,68249,599683
1900,41,67843,572199
1900,42,67418,545494
1900,43,66977,519552
1900,44,66507,494359
1900,45,66028,469906
1900,46,65516,446175
1900,47,64995,423157
1900,48,64430,400835
1900,49,63820,379205
1900,50,63169,358261
1900,51,62478,337997
1900,52,61722,318406
1900,53,60912,299486
1900,54,60053,281235
1900,55,59184,263646
1900,56,58264,246701
1900,57,57274,230394
1900,58,56210,214725
1900,59,55094,199693
1900,60,53905,185290
1900,61,52616,171515
1900,62,51268,158372
1900,63,49826,145853
1900,64,48275,133960
1900,65,46681,122696
1900,66,45022,112049
1900,67,43299,102012
1900,68,41573,92575
1900,69,39754,83718
1900,70,37934,75440
1900,71,36080,67718
1900,72,34180,60538
1900,73,32221,53890
1900,74,30272,47763
1900,75,28380,42137
1900,76,26515,36980
1900,77,24641,32271
1900,78,22796,27993
1900,79,20973,24124
1900,80,19217,20645
1900,81,17448,17529
1900,82,15747,14763
1900,83,14134,12323
1900,84,12530,10182
1900,85,11014,8327
1900,86,9562,6733
1900,87,8219,5380
1900,88,6984,4243
1900,89,5819,3299
1900,90,4810,2530
1900,91,3920,1909
1900,92,3148,1414
1900,93,2479,1025
1900,94,1898,726
1900,95,1416,502
1900,96,1029,339
1900,97,728,223
1900,98,500,143
1900,99,335,89
1900,100,217,54
1900,101,135,31
1900,102,82,18
1900,103,47,10
1900,104,26,5
1900,105,14,3
1900,106,7,1
1900,107,4,1
1900,108,2,0
1900,109,1,0
1900,110,0,0
1900,111,0,0
1900,112,0,0
1900,113,0,0
1900,114,0,0
1900,115,0,0
1900,116,0,0
1900,117,0,0
1900,118,0,0
1900,119,0,0
1901,0,100000,2716996
1901,1,87198,2616996
1901,2,84428,2531758
1901,3,83146,2451084
1901,4,82235,2373421
1901,5,81552,2298335
1901,6,81032,2225548
1901,7,80676,2154851
1901,8,80415,2086047
1901,9,80230,2019007
1901,10,80059,1953626
1901,11,79896,1889850
1901,12,79740,1827636
1901,13,79565,1766938
1901,14,79379,1707736
1901,15,79187,1650000
1901,16,78962,1593699
1901,17,78696,1538820
1901,18,78048,1485356
1901,19,77660,1433523
1901,20,77288,1383108
1901,21,76972,1334062
1901,22,76640,1286316
1901,23,76284,1239844
1901,24,75936,1194628
1901,25,75586,1150630
1901,26,75236,1107820
1901,27,74897,1066165
1901,28,74530,1025631
1901,29,74159,986202
1901,30,73807,947852
1901,31,73456,910542
1901,32,73124,874244
1901,33,72785,838922
1901,34,72425,804555
1901,35,72052,771126
1901,36,71643,738618
1901,37,71237,707020
1901,38,70864,676308
1901,39,70491,646444
1901,40,70101,617405
1901,41,69693,589176
1901,42,69270,561742
1901,43,68818,535087
1901,44,68356,509202
1901,45,67864,484069
1901,46,67368,459678
1901,47,66832,436009
1901,48,66258,413057
1901,49,65638,390813
1901,50,64982,369273
1901,51,64268,348427
1901,52,63497,328274
1901,53,62673,308811
1901,54,61830,290032
1901,55,60941,271922
1901,56,59990,254474
1901,57,58963,237684
1901,58,57890,221553
1901,59,56742,206071
1901,60,55506,191237
1901,61,54208,177053
1901,62,52807,163513
1901,63,51287,150618
1901,64,49698,138377
1901,65,48045,126781
1901,66,46332,115823
1901,67,44611,105493
1901,68,42794,95771
1901,69,40974,86654
1901,70,39110,78121
1901,71,37198,70160
1901,72,35221,62758
1901,73,33240,55906
1901,74,31308,49586
1901,75,29394,43767
1901,76,27471,38426
1901,77,25561,33548
1901,78,23662,29110
1901,79,21822,25094
1901,80,19953,21474
1901,81,18148,18239
1901,82,16420,15362
1901,83,14688,12817
1901,84,13041,10593
1901,85,11442,8662
1901,86,9948,7006
1901,87,8556,5598
1901,88,7234,4415
1901,89,6072,3437
1901,90,5030,2635
1901,91,4109,1985
1901,92,3297,1466
1901,93,2576,1059
1901,94,1967,748
1901,95,1464,516
1901,96,1062,347
1901,97,748,228
1901,98,514,145
1901,99,341,90
1901,100,219,54
1901,101,137,32
1901,102,82,18
1901,103,47,10
1901,104,27,5
1901,105,14,3
1901,106,8,1
1901,107,4,1
1901,108,2,0
1901,109,1,0
1901,110,0,0
1901,111,0,0
1901,112,0,0
1901,113,0,0
1901,114,0,0
1901,115,0,0
1901,116,0,0
1901,117,0,0
1901,118,0,0
1901,119,0,0
1902,0,100000,2735751
1902,1,87443,2635751
1902,2,84865,2550274
1902,3,83523,2469181
1902,4,82654,2391167
1902,5,81939,2315699
1902,6,81448,2242566
1902,7,81097,2171506
1902,8,80859,2102343
1902,9,80661,2034933
1902,10,80494,1969200
1902,11,80345,1905078
1902,12,80180,1842514
1902,13,80005,1781482
1902,14,79827,1721952
1902,15,79622,1663890
1902,16,79385,1607279
1902,17,78816,1552106
1902,18,78455,1498560
1902,19,78101,1446458
1902,20,77803,1395757
1902,21,77488,1346384
1902,22,77144,1298317
1902,23,76797,1251539
1902,24,76446,1206019
1902,25,76093,1161725
1902,26,75757,1118627
1902,27,75391,1076685
1902,28,75020,1035883
1902,29,74674,996195
1902,30,74335,957578
1902,31,74012,920001
1902,32,73683,883428
1902,33,73336,847836
1902,34,72982,813209
1902,35,72595,779523
1902,36,72207,746770
1902,37,71852,714924
1902,38,71496,683947
1902,39,71128,653816
1902,40,70743,624515
1902,41,70342,596027
1902,42,69916,568338
1902,43,69478,541435
1902,44,69012,515301
1902,45,68547,489927
1902,46,68045,465290
1902,47,67512,441383
1902,48,66932,418197
1902,49,66322,395727
1902,50,65665,373963
1902,51,64948,352898
1902,52,64177,332532
1902,53,63380,312860
1902,54,62536,293869
1902,55,61642,275553
1902,56,60667,257904
1902,57,59648,240924
1902,58,58561,224606
1902,59,57398,208945
1902,60,56181,193940
1902,61,54854,179583
1902,62,53401,165881
1902,63,51860,152841
1902,64,50246,140463
1902,65,48574,128739
1902,66,46890,117661
1902,67,45110,107207
1902,68,43327,97375
1902,69,41490,88145
1902,70,39606,79505
1902,71,37656,71443
1902,72,35691,63949
1902,73,33760,57007
1902,74,31840,50588
1902,75,29911,44670
1902,76,27984,39235
1902,77,26053,34265
1902,78,24172,29742
1902,79,22248,25640
1902,80,20381,21949
1902,81,18578,18644
1902,82,16757,15699
1902,83,15015,13103
1902,84,13305,10829
1902,85,11690,8859
1902,86,10171,7167
1902,87,8718,5728
1902,88,7420,4522
1902,89,6242,3519
1902,90,5179,2694
1902,91,4231,2025
1902,92,3369,1491
1902,93,2628,1075
1902,94,2002,758
1902,95,1488,522
1902,96,1076,350
1902,97,758,229
1902,98,516,145
1902,99,340,90
1902,100,219,54
1902,101,135,31
1902,102,81,18
1902,103,48,10
1902,104,27,5
1902,105,15,3
1902,106,8,1
1902,107,4,1
1902,108,2,0
1902,109,1,0
1902,110,0,0
1902,111,0,0
1902,112,0,0
1902,113,0,0
1902,114,0,0
1902,115,0,0
1902,116,0,0
1902,117,0,0
1902,118,0,0
1902,119,0,0
1903,0,100000,2757087
1903,1,87969,2657087
1903,2,85265,2571096
1903,3,83984,2489623
1903,4,83075,2411177
1903,5,82406,2335325
1903,6,81929,2261775
1903,7,81601,2190295
1903,8,81345,2120702
1903,9,81156,2052887
1903,10,81000,1986751
1903,11,80838,1922226
1903,12,80672,1859277
1903,13,80505,1797871
1903,14,80316,1737969
1903,15,80101,1679552
1903,16,79617,1622600
1903,17,79291,1567266
1903,18,78960,1513397
1903,19,78679,1460959
1903,20,78383,1409882
1903,21,78057,1360142
1903,22,77721,1311722
1903,23,77373,1264595
1903,24,77018,1218733
1903,25,76683,1174108
1903,26,76320,1130677
1903,27,75950,1088422
1903,28,75608,1047318
1903,29,75279,1007319
1903,30,74965,968390
