name,sex,number_living
Aaban,m,126.16595000000001
Aabha,f,55.717479999999995
Aabid,m,15.879249999999999
Aabidah,f,4.9732
Aabir,m,18.9342
Aabriella,f,50.718270000000004
Aada,f,12.928719999999998
Aadam,m,330.02578
Aadan,m,135.04659
Aadarsh,m,239.20754
Aadav,m,23.887410000000003
Aadaya,f,8.95176
Aaden,f,4.9692
Aaden,m,5003.70585
Aadesh,m,21.83814
Aadhan,m,17.89316
Aadhav,m,286.14422
Aadhavan,m,67.58593
Aadhi,m,93.45314
Aadhini,f,30.96689
Aadhira,f,230.94185
Aadhirai,f,4.97635
Aadhiran,m,61.745090000000005
Aadhrit,m,5.0
Aadhvi,f,5.0
Aadhvik,m,137.26398
Aadhvika,f,30.83811
Aadhya,f,2662.82112
Aadhyan,m,27.81671
Aadhyareddy,f,19.93
Aadhyasri,f,20.89062
Aadi,f,15.90261
Aadi,m,1031.87314
Aadian,m,4.9653
Aadil,m,409.11796
Aadilynn,f,4.9726
Aadin,m,123.07814
Aadish,m,64.62583000000001
Aadison,f,10.93344
Aadit,m,453.82708
Aadith,m,113.25378
Aadithya,m,18.87747
Aaditri,f,71.64013
Aaditya,m,647.11763
Aadiv,m,22.84788
Aadiya,f,4.9739
Aadon,m,117.11704
Aadrian,m,11.915189999999999
Aadrik,m,18.95504
Aadrika,f,32.81567
Aadrit,m,26.85861
Aadriti,f,39.83405
Aadvi,f,11.93722
Aadvik,m,433.55089000000004
Aadvika,f,122.45399
Aadya,f,1669.25058
Aadyant,m,5.9613000000000005
Aadyn,f,15.90045
Aadyn,m,578.91059
Aafia,f,15.917069999999999
Aafiya,f,77.70926
Aafiyah,f,52.77339
Aafreen,f,4.9652
Aagam,m,47.72302
Aage,m,0.07056
Aagna,f,12.96087
Aagot,f,0.1033
Aagya,f,7.0
Aahaan,m,63.61924
Aahan,m,485.02271
Aahana,f,846.48603
Aaheli,f,9.9458
Aahid,m,4.97
Aahil,m,808.61801
Aahir,m,26.86644
Aahlani,f,4.9748
Aahliyah,f,23.8437
Aahna,f,118.32396
Aahron,m,4.96215
Aaidan,m,37.702529999999996
Aaiden,m,926.61657
Aaidyn,m,69.523
Aaila,f,90.57292
Aailani,f,5.0
Aailiyah,f,14.888849999999998
Aailyah,f,215.53753
Aaima,f,106.45194
Aaira,f,351.41163
Aairah,f,185.01432
Aaisha,f,235.0044
Aaishah,f,22.8478
Aaiyana,f,9.943999999999999
Aaiza,f,46.777339999999995
Aaja,f,4.96245
Aajah,f,28.79552
Aajaylah,f,19.8551
Aajon,m,7.93752
Aakanksha,f,9.9328
Aakarsh,m,57.5586
Aakash,m,997.77417
Aakeem,m,15.694700000000001
Aakif,m,4.9677500000000006
Aakifah,f,16.97162
Aakil,m,28.81595
Aakilah,f,17.84742
Aakira,f,4.96245
Aakiyah,f,4.96245
Aakriti,f,68.60688999999999
Aala,f,133.23007
Aalaiya,f,14.91554
Aalaiyah,f,95.51406
Aalam,m,22.86241
Aalana,f,54.66138
Aalanah,f,20.87348
Aalani,f,230.96817
Aalap,m,5.847239999999999
Aalasia,f,4.9732
Aalaya,f,201.86429
Aalayah,f,1108.64019
Aalayiah,f,19.88517
Aalayjah,f,5.95956
Aalayna,f,39.75643
Aalaysha,f,16.88807
Aalaysia,f,162.9989
Aalea,f,6.95912
Aaleah,f,328.03163
Aaleahya,f,19.88329
Aaleayah,f,4.97205
Aaleena,f,4.9716
Aaleeya,f,4.9652
Aaleeyah,f,146.11951
Aaleia,f,9.95115
Aaleiah,f,5.96592
Aaleigha,f,181.87467999999998
Aaleiya,f,28.84228
Aaleiyah,f,59.656710000000004
Aalena,f,4.9716
