office,phone,email,last_name,first_name,party,district
Room 588 House Office Building,5173731008,abrahamaiyash@house.mi.gov,Aiyash,Abraham,Democrat,4
Room 351 Capitol Building,5173730846,ThomasAlbert@house.mi.gov,Albert,Thomas,Republican,86
Room 998 House Office Building,5173731795,JulieAlexander@house.mi.gov,Alexander,Julie,Republican,64
Room 428 Capitol Building,5173730833,SueAllor@house.mi.gov,Allor,Sue,Republican,106
Room 1087 House Office Building,5173730826,SarahAnthony@house.mi.gov,Anthony,Sarah,Democrat,68
Room 1187 House Office Building,5173730835,AndrewBeeler@house.mi.gov,Beeler,Andrew,Republican,83
Room 696 House Office Building,5173731530,JosephBellino@house.mi.gov,Bellino,Joe,Republican,17
Room 888 House Office Building,5173731799,RyanBerman@house.mi.gov,Berman,Ryan,Republican,39
Room 1285 House Office Building,5173730158,TimothyBeson@house.mi.gov,Beson,Timothy,Republican,96
Room 896 House Office Building,5173738835,robertbezotte@house.mi.gov,Bezotte,Robert,Republican,47
Room 799 House Office Building,5173731788,KyraBolden@house.mi.gov,Bolden,Kyra,Democrat,35
Room 891 House Office Building,5173731784,AnnBollin@house.mi.gov,Bollin,Ann,Republican,42
Room 1389 House Office Building,5173730829,KenBorton@house.mi.gov,Borton,Ken,Republican,105
Room 989 House Office Building,5173731792,FeliciaBrabec@house.mi.gov,Brabec,Felicia,Democrat,55
Room 1096 House Office Building,5173732277,TommyBrann@house.mi.gov,Brann,Tommy,Republican,77
Room 887 House Office Building,5173730827,kellybreen@house.mi.gov,Breen,Kelly,Democrat,38
Room 1088 House Office Building,5173731786,JulieBrixie@house.mi.gov,Brixie,Julie,Democrat,69
Room 1191 House Office Building,5173730842,JulieCalley@house.mi.gov,Calley,Julie,Republican,87
Room 1488 House Office Building,5173730498,SaraCambensy@house.mi.gov,Cambensy,Sara,Democrat,109
Room 787 House Office Building,5173730855,DarrinCamilleri@house.mi.gov,Camilleri,Darrin,Democrat,23
Room 993 House Office Building,5173730832,SteveCarra@house.mi.gov,Carra,Steve,Republican,59
Room 793 House Office Building,5173730475,BrendaCarter@house.mi.gov,Carter,Brenda,Democrat,29
Room 685 House Office Building,5173730823,TyroneCarter@house.mi.gov,Carter,Tyrone,Democrat,6
Room 689 House Office Building,5173730857,marycavanagh@house.mi.gov,Cavanagh,Mary,Democrat,10
Room 898 House Office Building,5173737515,JohnCherry@house.mi.gov,Cherry,John,Democrat,49
Room 693 House Office Building,5173730140,CaraClemente@house.mi.gov,Clemente,Cara,Democrat,14
Room 990 House Office Building,5173732617,TCClements@house.mi.gov,Clements,TC,Republican,56
Room 695 House Office Building,5173732576,KevinColeman@house.mi.gov,Coleman,Kevin,Democrat,16
Room 1486 House Office Building,5173732629,JohnDamoose@house.mi.gov,Damoose,John,Republican,107
Room 1185 House Office Building,5173731790,GaryEisen@house.mi.gov,Eisen,Gary,Republican,81
Room 790 House Office Building,5173733818,JimEllison@house.mi.gov,Ellison,Jim,Democrat,26
Room 794 House Office Building,5173737768,DianaFarrington@house.mi.gov,Farrington,Diana,Republican,30
Room 1197 House Office Building,5173731778,GrahamFiller@house.mi.gov,Filler,Graham,Republican,93
Room 992 House Office Building,5173731794,AndrewFink@house.mi.gov,Fink,Andrew,Republican,58
Room 153 Capitol Building,5173730841,BenFrederick@house.mi.gov,Frederick,Ben,Republican,85
Room 691 House Office Building,5173730852,AlexGarza@house.mi.gov,Garza,Alex,Democrat,12
NHOB 10-1093,5173738900,caglanville@house.mi.gov,Glanville,Carol,Democrat,74
Room 1287 House Office Building,5173731791,AnnetteGlenn@house.mi.gov,Glenn,Annette,Republican,98
Room 1188 House Office Building,5173730476,RepPhilGreen@house.mi.gov,Green,Phil,Republican,84
Room 1085 House Office Building,5173730839,BethGriffin@house.mi.gov,Griffin,Beth,Republican,66
Room 996 House Office Building,5173730555,JimHaadsma@house.mi.gov,Haadsma,Jim,Democrat,62
Room 997 House Office Building,5173731787,MattHall@house.mi.gov,Hall,Matt,Republican,63
NHOB 8-892,5173730615,mikeharris@house.mi.gov,Harris,Mike,Republican,43
Room 1288 House Office Building,5173731789,RogerHauck@house.mi.gov,Hauck,Roger,Republican,99
Room 697 House Office Building,5173731180,KevinHertel@house.mi.gov,Hertel,Kevin,Democrat,18
Room 1386 House Office Building,5173731747,MicheleHoitenga@house.mi.gov,Hoitenga,Michele,Republican,102
Room 1095 House Office Building,5173730822,RachelHood@house.mi.gov,Hood,Rachel,Democrat,76
Room 1086 House Office Building,5173730587,KaraHope@house.mi.gov,Hope,Kara,Democrat,67
Room 251 Capitol Building,5173738931,PamelaHornberger@house.mi.gov,Hornberger,Pamela,Republican,32
Room 1186 House Office Building,5173731800,garyhowell@house.mi.gov,Howell,Gary,Republican,82
Room 589 House Office Building,5173730844,CynthiaAJohnson@house.mi.gov,Johnson,Cynthia,Democrat,5
Room 1091 House Office Building,5173730840,StevenJohnson@house.mi.gov,Johnson,Steven,Republican,72
Room 690 House Office Building,5173730849,JewellJones@house.mi.gov,Jones,Jewell,Democrat,11
Room 991 House Office Building,5173731706,BronnaKahle@house.mi.gov,Kahle,Bronna,Republican,57
Room 699 House Office Building,5173733816,MattKoleszar@house.mi.gov,Koleszar,Matt,Democrat,20
Room 890 House Office Building,5173731783,PadmaKuppa@house.mi.gov,Kuppa,Padma,Democrat,41
Room 1487 House Office Building,5173730156,BeauLaFave@house.mi.gov,LaFave,Beau,Republican,108
Room 1094 House Office Building,5173732668,davidlagrand@house.mi.gov,LaGrand,David,Democrat,75
Room 167 Capitol Building,5173730828,donnalasinski@house.mi.gov,Lasinski,Donna,Democrat,52
Room 692 House Office Building,5173730845,tullioliberati@house.mi.gov,Liberati,Tullio,Democrat,13
Room 999 House Office Building,5173731775,SarahLightner@house.mi.gov,Lightner,Sarah,Republican,65
Room 889 House Office Building,5173738670,MariManoogian@house.mi.gov,Manoogian,Mari,Democrat,40
Room 788 House Office Building,5173730113,stevemarino@house.mi.gov,Marino,Steve,Republican,24
Room 1489 House Office Building,5173730850,GregMarkkanen@house.mi.gov,Markkanen,Gregory,Republican,110
Room 897 House Office Building,5173737557,davidmartin@house.mi.gov,Martin,David,Republican,48
Room 1192 House Office Building,5173731830,lukemeerman@house.mi.gov,Meerman,Luke,Republican,88
SHOB 8-885,5173730843,terencemekoski@house.mi.gov,Mekoski,Terence,Republican,36
Room 995 House Office Building,5173731774,ChristineMorse@house.mi.gov,Morse,Christine,Democrat,61
Room 985 House Office Building,5173731780,mikemueller@house.mi.gov,Mueller,Mike,Republican,51
Room 798 House Office Building,5173738808,cynthianeeley@house.mi.gov,Neeley,Cynthia,Democrat,34
Room 1385 House Office Building,5173730825,jackomalley@house.mi.gov,O'Malley,Jack,Republican,101
Room 1199 House Office Building,5173730152,AmosOneal@house.mi.gov,O'Neal,Amos,Democrat,95
Room 1089 House Office Building,5173730834,PatOutman@house.mi.gov,Outman,Pat,Republican,70
