name,total_number_after,peak_year_f,peak_rank_f,peak_year_m,peak_rank_m,middle_lo_f50,middle_hi_f50,middle_lo_m50,middle_hi_m50,middle_lo_f80,middle_hi_f80,middle_lo_m80,middle_hi_m80,gender_after_1960,ratio_after_1960,gender_after_1970,ratio_after_1970,gender_after_1980,ratio_after_1980,gender_after_1990,ratio_after_1990,gender_after_2000,ratio_after_2000,gender_after_2010,ratio_after_2010,gender_after_2020,ratio_after_2020
Michael,4320813,1975.0,373.0,1998.0,1.0,1973.0,1997.0,1972.0,2023.0,1965.0,2023.0,1964.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
James,3913279,1938.0,402.0,1952.0,1.0,1973.0,2023.0,1975.0,2023.0,1965.0,2023.0,1964.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
John,3646004,1939.0,445.0,1965.0,2.0,1972.0,2023.0,1973.0,2023.0,1964.0,2023.0,1964.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
Robert,3546569,1937.0,441.0,1953.0,1.0,1972.0,2023.0,1974.0,2023.0,1965.0,2023.0,1964.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
David,3422394,1967.0,561.0,1960.0,1.0,1971.0,2015.0,1971.0,2023.0,1964.0,2023.0,1963.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
William,2854531,1937.0,514.0,2018.0,3.0,1974.0,2023.0,1979.0,2023.0,1965.0,2023.0,1966.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
Mary,2173586,1961.0,1.0,1937.0,320.0,1990.0,2023.0,1979.0,2020.0,1964.0,2023.0,1964.0,2020.0,Fem,99.0,Fem,99.0,Fem,99.0,Fem,99.0,Fem,99.0,Fem,99.0,Fem,99.0
Christopher,2060631,1983.0,476.0,1994.0,2.0,1975.0,1988.0,1975.0,1996.0,1969.0,2002.0,1968.0,2010.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
Richard,2031148,1938.0,617.0,1947.0,5.0,1972.0,2022.0,1974.0,2023.0,1965.0,2022.0,1964.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
Joseph,2020814,1985.0,755.0,2003.0,6.0,1975.0,2023.0,1979.0,2023.0,1966.0,2023.0,1966.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
Thomas,1911107,1940.0,741.0,1955.0,8.0,1973.0,2023.0,1976.0,2023.0,1965.0,2023.0,1964.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
Daniel,1858993,1985.0,632.0,2008.0,5.0,1977.0,1996.0,1978.0,2012.0,1968.0,2023.0,1967.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
Charles,1628410,1937.0,496.0,1941.0,6.0,1975.0,2023.0,1979.0,2023.0,1965.0,2023.0,1965.0,2023.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0,Masc,0.0
