name,number_living
Aaban,126.16595000000001
Aabha,55.717479999999995
Aabid,15.879249999999999
Aabidah,4.9732
Aabir,18.9342
Aabriella,50.718270000000004
Aada,12.928719999999998
Aadam,330.02578
Aadan,135.04658999999998
Aadarsh,239.20754
Aadav,23.887410000000003
Aadaya,8.95176
Aaden,5008.67505
Aadesh,21.83814
Aadhan,17.89316
Aadhav,286.14422
Aadhavan,67.58593
Aadhi,93.45314
Aadhini,30.96689
Aadhira,230.94185000000002
Aadhirai,4.97635
Aadhiran,61.745090000000005
Aadhrit,5.0
Aadhvi,5.0
Aadhvik,137.26398
Aadhvika,30.83811
Aadhya,2662.82112
Aadhyan,27.81671
Aadhyareddy,19.93
Aadhyasri,20.89062
Aadi,1047.77575
Aadian,4.9653
Aadil,409.11796
Aadilynn,4.9726
Aadin,123.07814
Aadish,64.62583000000001
Aadison,10.933440000000001
Aadit,453.82707999999997
Aadith,113.25378
Aadithya,18.87747
Aaditri,71.64013
Aaditya,647.11763
Aadiv,22.84788
Aadiya,4.9739
Aadon,117.11704
Aadrian,11.915189999999999
Aadrik,18.95504
Aadrika,32.81567
Aadrit,26.858610000000002
Aadriti,39.83405
Aadvi,11.93722
Aadvik,433.55089
Aadvika,122.45399
Aadya,1669.25058
Aadyant,5.9613000000000005
Aadyn,594.81104
Aafia,15.917069999999999
Aafiya,77.70926
Aafiyah,52.77339
Aafreen,4.9652
Aagam,47.72302
Aage,0.07056
Aagna,12.96087
Aagot,0.1033
Aagya,7.0
Aahaan,63.61924
Aahan,485.02271
Aahana,846.48603
Aaheli,9.9458
Aahid,4.97
Aahil,808.61801
Aahir,26.86644
Aahlani,4.9748
Aahliyah,23.843700000000002
Aahna,118.32396
Aahron,4.96215
Aaidan,37.702529999999996
Aaiden,926.61657
Aaidyn,69.523
Aaila,90.57292
Aailani,5.0
Aailiyah,14.888849999999998
Aailyah,215.53753
Aaima,106.45194000000001
Aaira,351.41163
Aairah,185.01432
Aaisha,235.0044
Aaishah,22.8478
Aaiyana,9.943999999999999
Aaiza,46.77734
Aaja,4.96245
Aajah,28.79552
Aajaylah,19.8551
Aajon,7.93752
Aakanksha,9.9328
Aakarsh,57.5586
Aakash,997.77417
Aakeem,15.694700000000001
Aakif,4.9677500000000006
Aakifah,16.97162
Aakil,28.81595
Aakilah,17.84742
Aakira,4.96245
Aakiyah,4.96245
Aakriti,68.60688999999999
Aala,133.23007
Aalaiya,14.91554
Aalaiyah,95.51406
Aalam,22.86241
Aalana,54.66138
Aalanah,20.87348
Aalani,230.96817000000001
Aalap,5.847239999999999
Aalasia,4.9732
Aalaya,201.86429
Aalayah,1108.64019
Aalayiah,19.88517
Aalayjah,5.95956
Aalayna,39.75643
Aalaysha,16.88807
Aalaysia,162.9989
Aalea,6.95912
Aaleah,328.03163
Aaleahya,19.88329
Aaleayah,4.97205
Aaleena,4.9716
Aaleeya,4.9652
Aaleeyah,146.11951
Aaleia,9.95115
Aaleiah,5.96592
Aaleigha,181.87467999999998
Aaleiya,28.84228
Aaleiyah,59.656710000000004
Aalena,4.9716
Aalexis,19.83896
Aalexus,5.9427
Aaleya,21.8766
Aaleyah,1367.86709
Aali,5.95902
Aalia,641.26061
Aaliah,988.54929
Aaliana,22.87029
Aalias,4.9572
Aaliayah,128.04332
Aaliayh,46.66146
Aalicia,4.9652
Aalieyah,4.9716
Aaliha,11.91984
Aalijah,420.16048
